EIGENVECTOR1.X d	EIGENVECTOR1.Y d	EIGENVECTOR1.Z d	EIGENVECTOR2.X d	EIGENVECTOR2.Y d	EIGENVECTOR2.Z d	EIGENVECTOR3.X d	EIGENVECTOR3.Y d	EIGENVECTOR3.Z d	EIGENVALUE.X d	EIGENVALUE.Y d	EIGENVALUE.Z d	S_1.DIPDIR d	S_1.DIP d	S_2.DIPDIR d	S_2.DIP d	S_3.DIPDIR d	S_3.DIP d	stressratio d	delvaux_str d	regime s	delvaux_rgm s	shmax d	shmin d
-0.05456738	-0.05375312	-0.99706219	0.69077418	0.71900519	-0.07656745	0.72100862	-0.69292290	-0.00210296	1.00840870	-0.42575153	-0.58265717	225.43069253	85.60705124	43.85279804	4.39128953	133.86205090	0.12049098	0.09861669	0.09861669	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205090
-0.05456739	-0.05375310	-0.99706219	0.69077418	0.71900518	-0.07656745	0.72100862	-0.69292290	-0.00210298	1.00840870	-0.42575153	-0.58265717	225.43070745	85.60705128	43.85279844	4.39128947	133.86205139	0.12049208	0.09861668	0.09861668	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205139
-0.05456740	-0.05375309	-0.99706219	0.69077419	0.71900518	-0.07656745	0.72100861	-0.69292291	-0.00210300	1.00840870	-0.42575153	-0.58265716	225.43071966	85.60705131	43.85279877	4.39128941	133.86205179	0.12049299	0.09861668	0.09861668	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205179
-0.05456741	-0.05375308	-0.99706219	0.69077419	0.71900518	-0.07656745	0.72100861	-0.69292291	-0.00210301	1.00840870	-0.42575154	-0.58265716	225.43072966	85.60705133	43.85279905	4.39128937	133.86205212	0.12049373	0.09861668	0.09861668	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205212
-0.05456742	-0.05375307	-0.99706219	0.69077419	0.71900517	-0.07656745	0.72100861	-0.69292292	-0.00210302	1.00840870	-0.42575154	-0.58265716	225.43073785	85.60705135	43.85279927	4.39128933	133.86205239	0.12049434	0.09861667	0.09861667	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205239
-0.05456743	-0.05375307	-0.99706219	0.69077420	0.71900517	-0.07656744	0.72100860	-0.69292292	-0.00210303	1.00840870	-0.42575154	-0.58265716	225.43074456	85.60705137	43.85279945	4.39128930	133.86205261	0.12049484	0.09861667	0.09861667	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205261
-0.05456743	-0.05375306	-0.99706219	0.69077420	0.71900517	-0.07656744	0.72100860	-0.69292292	-0.00210304	1.00840870	-0.42575154	-0.58265716	225.43075005	85.60705138	43.85279960	4.39128928	133.86205279	0.12049525	0.09861667	0.09861667	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205279
-0.05456744	-0.05375306	-0.99706219	0.69077420	0.71900517	-0.07656744	0.72100860	-0.69292292	-0.00210304	1.00840870	-0.42575154	-0.58265715	225.43075454	85.60705139	43.85279972	4.39128926	133.86205293	0.12049558	0.09861667	0.09861667	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205293
-0.05456744	-0.05375305	-0.99706219	0.69077420	0.71900517	-0.07656744	0.72100860	-0.69292292	-0.00210305	1.00840870	-0.42575154	-0.58265715	225.43075823	85.60705140	43.85279982	4.39128924	133.86205306	0.12049585	0.09861667	0.09861667	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205306
-0.05456744	-0.05375305	-0.99706219	0.69077420	0.71900517	-0.07656744	0.72100860	-0.69292292	-0.00210305	1.00840870	-0.42575154	-0.58265715	225.43076124	85.60705140	43.85279990	4.39128923	133.86205315	0.12049608	0.09861667	0.09861667	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205315
