ID s	INT d	DIP d	FREQ d	FREQ_NRM d	FREQ_MAX d
W_TST_0745	0.13000000	36.96000000	10.22287834	0.10214114	72.24375572
W_TST_0743	1.34000000	9.44000000	4.48839465	0.04484547	72.24375572
W_TST_0741	0.46000000	13.45000000	9.08993771	0.09082145	72.24375572
W_TST_0740	0.29000000	15.67000000	12.29233529	0.12281797	72.24375572
W_TST_0739	1.45000000	1.69000000	0.68965517	0.00689064	72.24375572
W_TST_0738	0.12000000	7.87000000	60.28694535	0.60235261	72.24375572
W_TST_0737	0.11000000	14.98000000	33.97516846	0.33946041	72.24375572
W_TST_0736	1.04000000	28.27000000	1.78801289	0.01786480	72.24375572
W_TST_0735	0.31000000	3.13000000	3.22580645	0.03223041	72.24375572
W_TST_0734	1.20000000	22.34000000	2.02784301	0.02026105	72.24375572
W_TST_0730	0.41000000	20.29000000	6.59707803	0.06591422	72.24375572
W_TST_0728	0.54000000	1.41000000	1.85185185	0.01850264	72.24375572
W_TST_0725	0.18000000	14.41000000	21.62179303	0.21603256	72.24375572
W_TST_0724	0.12000000	23.97000000	18.74337907	0.18727310	72.24375572
W_TST_0723	0.37000000	18.90000000	7.89394862	0.07887181	72.24375572
W_TST_0722	0.35000000	17.85000000	8.87234938	0.08864743	72.24375572
W_TST_0720	0.52000000	16.06000000	6.68015638	0.06674429	72.24375572
W_TST_0718	0.20000000	3.28000000	5.00000000	0.04995713	72.24375572
W_TST_0716	2.00000000	3.50000000	0.50000000	0.00499571	72.24375572
W_TST_0715	11.91000000	22.51000000	0.20260473	0.00202431	72.24375572
W_TST_0714	0.13000000	1.04000000	7.69230769	0.07685713	72.24375572
W_TST_0713	0.46000000	13.22000000	9.25399446	0.09246061	72.24375572
W_TST_0711	0.15000000	14.82000000	25.19670457	0.25175103	72.24375572
W_TST_0710	0.32000000	29.67000000	5.48537987	0.05480677	72.24375572
W_TST_0709	0.23000000	33.21000000	6.64164443	0.06635950	72.24375572
W_TST_0707	0.99000000	2.58000000	1.01010101	0.01009235	72.24375572
W_TST_0706	0.53000000	11.56000000	9.22442591	0.09216518	72.24375572
W_TST_0705	1.16000000	31.86000000	1.38712935	0.01385940	72.24375572
W_TST_0704	0.17000000	40.94000000	6.78120204	0.06775388	72.24375572
W_TST_0703	0.43000000	47.48000000	2.13249661	0.02130668	72.24375572
W_TST_0702	0.19000000	17.97000000	16.22723992	0.16213328	72.24375572
W_TST_0701	1.47000000	46.24000000	0.65144645	0.00650888	72.24375572
W_TST_0700	1.38000000	37.65000000	0.93926449	0.00938459	72.24375572
W_TST_0698	0.26000000	35.22000000	5.44823212	0.05443561	72.24375572
W_TST_0697	0.14000000	10.95000000	36.91879359	0.36887143	72.24375572
W_TST_0696	0.11000000	5.19000000	100.08580460	1.00000000	100.08580460
W_TST_0695	0.46000000	11.99000000	10.23624129	0.10227466	100.08580460
W_TST_0691	0.35000000	33.72000000	4.28086704	0.04277197	100.08580460
W_TST_0687	0.30000000	17.63000000	10.48893977	0.10479947	100.08580460
W_TST_0686	0.41000000	2.48000000	2.43902439	0.02436933	100.08580460
W_TST_0685	0.15000000	38.30000000	8.44146414	0.08434227	100.08580460
W_TST_0683	0.39000000	13.78000000	10.45490862	0.10445946	100.08580460
W_TST_0680	0.39000000	8.70000000	16.75648529	0.16742120	100.08580460
W_TST_0677	0.34000000	9.31000000	17.94105913	0.17925678	100.08580460
W_TST_0676	0.71000000	30.86000000	2.35708245	0.02355062	100.08580460
W_TST_0675	0.41000000	43.45000000	2.57469156	0.02572484	100.08580460
