GROUP i	CENTER.A.X d	CENTER.A.Y d	CENTER.B.X d	CENTER.B.Y d	CENTER.C.X d	CENTER.C.Y d	COUNT i
6	0.91354546	-0.40673664	0.86602540	-0.50000000	0.96363762	-0.49099789	0
6	0.86602540	-0.50000000	0.80901699	-0.58778525	0.90703546	-0.58903571	0
6	0.80901699	-0.58778525	0.74314483	-0.66913061	0.84049563	-0.68061994	0
6	0.74314483	-0.66913061	0.66913061	-0.74314483	0.76474715	-0.76474715	0
6	0.66913061	-0.74314483	0.58778525	-0.80901699	0.68061994	-0.84049563	0
7	0.58778525	-0.80901699	0.50000000	-0.86602540	0.58903571	-0.90703546	0
1	0.40673664	-0.91354546	0.50000000	-0.86602540	0.49384417	-0.85536319	0
1	0.30901699	-0.95105652	0.40673664	-0.91354546	0.39120337	-0.90691134	0
1	0.20791169	-0.97814760	0.30901699	-0.95105652	0.28327221	-0.94619507	0
1	0.10452846	-0.99452190	0.20791169	-0.97814760	0.17151028	-0.97268314	0
1	0.00000000	-1.00000000	0.10452846	-0.99452190	0.05742897	-0.98601733	0
1	-0.10452846	-0.99452190	0.00000000	-1.00000000	-0.05742897	-0.98601733	0
1	-0.20791169	-0.97814760	-0.10452846	-0.99452190	-0.17151028	-0.97268314	0
1	-0.30901699	-0.95105652	-0.20791169	-0.97814760	-0.28327221	-0.94619507	0
1	-0.40673664	-0.91354546	-0.30901699	-0.95105652	-0.39120337	-0.90691134	0
2	0.40673664	-0.91354546	0.49384417	-0.85536319	0.39120337	-0.90691134	0
2	0.30901699	-0.95105652	0.39120337	-0.90691134	0.28327221	-0.94619507	0
2	0.20791169	-0.97814760	0.28327221	-0.94619507	0.17151028	-0.97268314	0
2	0.10452846	-0.99452190	0.17151028	-0.97268314	0.05742897	-0.98601733	0
2	0.00000000	-1.00000000	0.05742897	-0.98601733	-0.05742897	-0.98601733	0
2	-0.10452846	-0.99452190	-0.05742897	-0.98601733	-0.17151028	-0.97268314	0
2	-0.20791169	-0.97814760	-0.17151028	-0.97268314	-0.28327221	-0.94619507	0
2	-0.30901699	-0.95105652	-0.28327221	-0.94619507	-0.39120337	-0.90691134	0
3	-0.50000000	-0.86602540	-0.40673664	-0.91354546	-0.49384417	-0.85536319	0
4	-0.49384417	-0.85536319	-0.40673664	-0.91354546	-0.39120337	-0.90691134	0
1	0.39120337	-0.90691134	0.49384417	-0.85536319	0.47552826	-0.82363910	0
1	0.28327221	-0.94619507	0.39120337	-0.90691134	0.36395357	-0.87866165	0
1	0.17151028	-0.97268314	0.28327221	-0.94619507	0.24615154	-0.91865005	0
1	0.05742897	-0.98601733	0.17151028	-0.97268314	0.12413779	-0.94292010	0
1	-0.05742897	-0.98601733	0.05742897	-0.98601733	0.00000000	-0.95105652	0
1	-0.17151028	-0.97268314	-0.05742897	-0.98601733	-0.12413779	-0.94292010	0
1	-0.28327221	-0.94619507	-0.17151028	-0.97268314	-0.24615154	-0.91865005	0
1	-0.39120337	-0.90691134	-0.28327221	-0.94619507	-0.36395357	-0.87866165	0
2	0.39120337	-0.90691134	0.47552826	-0.82363910	0.36395357	-0.87866165	0
2	0.28327221	-0.94619507	0.36395357	-0.87866165	0.24615154	-0.91865005	0
