DEPTH d	SIZE i	MIN d	MAX d	INT_AV_D.X d	INT_AV_D.Y d	INT_AV_D.Z d	INT_AV_DD.DIPDIR d	INT_AV_DD.DIP d	INT_AV_DD_STDEV d	INT_AV_D_STDEV d	DD_DERIV d	D_DERIV d
1460.95000000	7	1445.84000000	1465.84000000	-0.97868446	-0.18270115	-0.09379246	259.42571957	5.38182227	42.72800974	2.37303803	0.00000000	0.00000000
1460.95000000	7	1446.84000000	1466.84000000	-0.97868446	-0.18270115	-0.09379246	259.42571957	5.38182227	42.72800974	2.37303803	0.00000000	0.00000000
1460.95000000	7	1447.84000000	1467.84000000	-0.97868446	-0.18270115	-0.09379246	259.42571957	5.38182227	42.72800974	2.37303803	0.00000000	0.00000000
1460.95000000	7	1448.84000000	1468.84000000	-0.97868446	-0.18270115	-0.09379246	259.42571957	5.38182227	42.72800974	2.37303803	0.00000000	0.00000000
1460.95000000	7	1449.84000000	1469.84000000	-0.97868446	-0.18270115	-0.09379246	259.42571957	5.38182227	42.72800974	2.37303803	0.00000000	0.00000000
1460.95000000	7	1450.84000000	1470.84000000	-0.97868446	-0.18270115	-0.09379246	259.42571957	5.38182227	42.72800974	2.37303803	0.07389380	0.01469459
1461.31000000	8	1451.84000000	1471.84000000	-0.98693513	-0.13713020	-0.08458341	262.08965475	4.85206955	43.79033830	2.58910232	0.00000000	0.00000000
1461.31000000	8	1452.84000000	1472.84000000	-0.98693513	-0.13713020	-0.08458341	262.08965475	4.85206955	43.79033830	2.58910232	0.00000000	0.00000000
1461.31000000	8	1453.84000000	1473.84000000	-0.98693513	-0.13713020	-0.08458341	262.08965475	4.85206955	43.79033830	2.58910232	0.00376619	0.00058193
1461.56500000	9	1454.84000000	1474.84000000	-0.98718562	-0.13547637	-0.08432497	262.18582832	4.83720937	41.24998141	2.44499922	0.02034746	0.00680023
1463.12500000	9	1455.84000000	1475.84000000	-0.99456655	-0.08064088	-0.06583634	265.36451640	3.77487502	57.22080597	2.57563988	0.02642666	0.00006809
1471.58000000	10	1456.84000000	1476.84000000	-0.95031994	0.30401379	-0.06684030	287.73982610	3.83252457	57.81881799	4.31626978	0.07991787	0.00550890
1473.02500000	11	1457.84000000	1477.84000000	-0.86918749	0.48785053	-0.08071535	299.30427400	4.62968512	53.87648195	5.03686646	0.03878571	0.00225012
1474.98000000	13	1458.84000000	1478.84000000	-0.79658074	0.59803741	-0.08837631	306.89759296	5.07020421	49.99413972	4.66206067	0.06319335	0.00439766
1475.49000000	14	1459.84000000	1479.84000000	-0.76137754	0.64170757	-0.09228025	310.12500695	5.29480183	48.50188922	4.52060693	0.11418522	0.00555460
1476.71000000	14	1460.84000000	1480.84000000	-0.58353599	0.80539170	-0.10406710	324.07528470	5.97342096	40.55096058	4.23501425	0.03266451	0.00679506
1477.89000000	14	1461.84000000	1481.84000000	-0.52717031	0.84152764	-0.11799445	327.93514274	6.77637076	29.92324247	4.06839443	0.05393904	0.01761761
1478.13000000	15	1462.84000000	1482.84000000	-0.50842893	0.85396485	-0.11065285	329.23150855	6.35295073	35.04226919	4.14306745	0.02285905	0.01504860
1478.63000000	17	1463.84000000	1483.84000000	-0.52610935	0.84480078	-0.09757348	328.08694144	5.59945785	45.29789297	4.33414111	0.02889588	0.00926953
1478.89000000	16	1464.84000000	1484.84000000	-0.53693021	0.83746634	-0.10176483	327.33458709	5.84080619	45.83188814	4.34090164	0.00000000	0.00000000
1478.89000000	16	1465.84000000	1485.84000000	-0.53693021	0.83746634	-0.10176483	327.33458709	5.84080619	45.83188814	4.34090164	0.02633048	0.00317992
1479.43500000	17	1466.84000000	1486.84000000	-0.55793394	0.82398905	-0.09875106	325.89754879	5.66725576	45.32397318	4.26546413	0.00000000	0.00000000
1479.43500000	17	1467.84000000	1487.84000000	-0.55793394	0.82398905	-0.09875106	325.89754879	5.66725576	45.32397318	4.26546413	0.00000000	0.00000000
1479.43500000	17	1468.84000000	1488.84000000	-0.55793394	0.82398905	-0.09875106	325.89754879	5.66725576	45.32397318	4.26546413	0.00000000	0.00000000
1479.43500000	17	1469.84000000	1489.84000000	-0.55793394	0.82398905	-0.09875106	325.89754879	5.66725576	45.32397318	4.26546413	0.00000000	0.00000000
1479.43500000	17	1470.84000000	1490.84000000	-0.55793394	0.82398905	-0.09875106	325.89754879	5.66725576	45.32397318	4.26546413	0.00344925	0.00414972
1479.98000000	16	1471.84000000	1491.84000000	-0.55500152	0.82548734	-0.10268377	326.08579827	5.89373525	46.69023600	4.26222965	0.00000000	0.00000000
1479.98000000	16	1472.84000000	1492.84000000	-0.55500152	0.82548734	-0.10268377	326.08579827	5.89373525	46.69023600	4.26222965	0.00000000	0.00000000
1479.98000000	16	1473.84000000	1493.84000000	-0.55500152	0.82548734	-0.10268377	326.08579827	5.89373525	46.69023600	4.26222965	0.16394838	0.01613413
