DEPTH d	FREQ d	DERIV_DEPTH d	DERIV d
1690.05500000	0.06666050	1691.50750000	0.00489599
1692.96000000	0.04255844	1694.47250000	0.00411522
1695.98500000	0.06365378	1696.85500000	0.02518826
1697.72500000	0.13792401	1701.76500000	0.00930525
1705.80500000	0.01051302	1710.43500000	0.00226600
1715.06500000	0.04607109	1715.97250000	0.31015010
1716.88000000	1.00000000	1719.05750000	0.13417409
1721.23500000	0.00979696	1724.94000000	0.00117232
1728.64500000	0.02451781	1731.53000000	0.00022240
1734.41500000	0.02669240	1736.92500000	0.00024558
1739.43500000	0.02878155	1742.65250000	0.00096924
1745.87000000	0.01821220	1747.97250000	0.05072612
1750.07500000	0.37967620	1750.21250000	0.00998137
1750.35000000	0.37502473	1751.55750000	0.08543990
1752.76500000	0.02536524	1755.78000000	0.00093317
1758.79500000	0.01582966	1764.36500000	0.00027503
1769.93500000	0.01063764	1775.07750000	0.00090822
1780.22000000	0.02646698	1781.78750000	0.03821077
1783.35500000	0.22946451	1783.82750000	0.07905583
1784.30000000	0.10286467	1785.86250000	0.01508563
1787.42500000	0.02297681	1789.55750000	0.00176556
1791.69000000	0.03573737	1793.07000000	0.00811352
1794.45000000	0.07368511	1795.81000000	0.00654533
1797.17000000	0.04351562	1798.28750000	0.03605318
1799.40500000	0.18006461	1800.71500000	0.03294682
1802.02500000	0.03378552	1803.89250000	0.00149485
1805.76000000	0.04324693	1808.26500000	0.00247905
1810.77000000	0.02219995	1812.94500000	0.00717543
1815.12000000	0.07509373	NAN	NAN
1369.50000000	0.22612159	1371.86250000	0.02808632
1374.22500000	0.00957593	1382.29250000	0.00005306
1390.36000000	0.00817899	1397.67750000	0.00076899
1404.99500000	0.02654299	1406.73500000	0.03452007
1408.47500000	0.22256451	1409.08750000	0.05680930
1409.70000000	0.10900896	1416.31500000	0.00485689
1422.93000000	0.00415839	1430.96250000	0.00062357
1438.99500000	0.02050470	1440.93250000	0.03549536
1442.87000000	0.24494254	1443.14500000	0.04914070
1443.42000000	0.28904439	1443.93500000	0.10976971
1444.45000000	0.10455451	1444.92750000	0.17365090
