DEPTH d	FREQ d	DERIV_DEPTH d	DERIV d
1444.89000000	0.09540240	1445.46250000	0.00611019
1446.03500000	0.11380773	1446.26750000	0.00385566
1446.50000000	0.10909106	1446.76250000	0.03708643
1447.02500000	0.05786891	1447.27250000	0.15146030
1447.52000000	0.25510555	1447.69000000	0.22391266
1447.86000000	0.05482391	1448.03750000	0.53502104
1448.21500000	0.55449334	1448.63250000	0.23553986
1449.05000000	0.03708378	1449.45500000	0.28100677
1449.86000000	0.63588870	1450.01750000	0.57630385
1450.17500000	0.15830925	1450.45000000	0.05859152
1450.72500000	0.07353166	1451.08000000	0.01785856
1451.43500000	0.04017455	1452.67750000	0.00468720
1453.92000000	0.00953208	1455.11250000	0.01345176
1456.30500000	0.09393375	1457.87000000	0.00893787
1459.43500000	0.02033647	1460.98750000	0.00651767
1462.54000000	0.07357638	1462.72000000	0.19897457
1462.90000000	0.26202096	1463.53000000	0.07625721
1464.16000000	0.00924544	1464.90250000	0.01064572
1465.64500000	0.05083506	1466.45750000	0.00864274
1467.27000000	0.01388728	1468.26750000	0.00258874
1469.26500000	0.02747398	1470.24000000	0.00172941
1471.21500000	0.03634585	1472.43750000	0.00043247
