GROUP i	CENTER.A.X d	CENTER.A.Y d	CENTER.A.Z d	CENTER.B.X d	CENTER.B.Y d	CENTER.B.Z d	CENTER.C.X d	CENTER.C.Y d	CENTER.C.Z d	COUNT i
2	0.82363910	-0.47552826	-0.30901699	0.80276914	-0.38659324	-0.45399050	0.73618414	-0.50192185	-0.45399050	0
2	0.75452386	-0.57896652	-0.30901699	0.73618414	-0.50192185	-0.45399050	0.65315400	-0.60603835	-0.45399050	0
2	0.67249851	-0.67249851	-0.30901699	0.65315400	-0.60603835	-0.45399050	0.55553348	-0.69661695	-0.45399050	0
3	0.47552826	-0.82363910	-0.30901699	0.57896652	-0.75452386	-0.30901699	0.44550326	-0.77163428	-0.45399050	0
4	0.44550326	-0.77163428	-0.45399050	0.57896652	-0.75452386	-0.30901699	0.55553348	-0.69661695	-0.45399050	0
1	0.88105472	-0.13279763	-0.45399050	0.89100652	0.00000000	-0.45399050	0.80901699	0.00000000	-0.58778525	0
1	0.85142160	-0.26262878	-0.45399050	0.88105472	-0.13279763	-0.45399050	0.79672621	-0.14048433	-0.58778525	0
1	0.80276914	-0.38659324	-0.45399050	0.85142160	-0.26262878	-0.45399050	0.76022730	-0.27670011	-0.58778525	0
1	0.73618414	-0.50192185	-0.45399050	0.80276914	-0.38659324	-0.45399050	0.70062927	-0.40450850	-0.58778525	0
1	0.65315400	-0.60603835	-0.45399050	0.73618414	-0.50192185	-0.45399050	0.61974297	-0.52002610	-0.58778525	0
1	0.55553348	-0.69661695	-0.45399050	0.65315400	-0.60603835	-0.45399050	0.52002610	-0.61974297	-0.58778525	0
2	0.88105472	-0.13279763	-0.45399050	0.80901699	0.00000000	-0.58778525	0.79672621	-0.14048433	-0.58778525	0
2	0.85142160	-0.26262878	-0.45399050	0.79672621	-0.14048433	-0.58778525	0.76022730	-0.27670011	-0.58778525	0
2	0.80276914	-0.38659324	-0.45399050	0.76022730	-0.27670011	-0.58778525	0.70062927	-0.40450850	-0.58778525	0
2	0.73618414	-0.50192185	-0.45399050	0.70062927	-0.40450850	-0.58778525	0.61974297	-0.52002610	-0.58778525	0
2	0.65315400	-0.60603835	-0.45399050	0.61974297	-0.52002610	-0.58778525	0.52002610	-0.61974297	-0.58778525	0
3	0.44550326	-0.77163428	-0.45399050	0.55553348	-0.69661695	-0.45399050	0.40450850	-0.70062927	-0.58778525	0
4	0.40450850	-0.70062927	-0.58778525	0.55553348	-0.69661695	-0.45399050	0.52002610	-0.61974297	-0.58778525	0
1	0.79672621	-0.14048433	-0.58778525	0.80901699	0.00000000	-0.58778525	0.70710678	0.00000000	-0.70710678	0
1	0.76022730	-0.27670011	-0.58778525	0.79672621	-0.14048433	-0.58778525	0.69165480	-0.14701577	-0.70710678	0
1	0.70062927	-0.40450850	-0.58778525	0.76022730	-0.27670011	-0.58778525	0.64597419	-0.28760624	-0.70710678	0
1	0.61974297	-0.52002610	-0.58778525	0.70062927	-0.40450850	-0.58778525	0.57206140	-0.41562694	-0.70710678	0
1	0.52002610	-0.61974297	-0.58778525	0.61974297	-0.52002610	-0.58778525	0.47314679	-0.52548275	-0.70710678	0
2	0.79672621	-0.14048433	-0.58778525	0.70710678	0.00000000	-0.70710678	0.69165480	-0.14701577	-0.70710678	0
2	0.76022730	-0.27670011	-0.58778525	0.69165480	-0.14701577	-0.70710678	0.64597419	-0.28760624	-0.70710678	0
2	0.70062927	-0.40450850	-0.58778525	0.64597419	-0.28760624	-0.70710678	0.57206140	-0.41562694	-0.70710678	0
2	0.61974297	-0.52002610	-0.58778525	0.57206140	-0.41562694	-0.70710678	0.47314679	-0.52548275	-0.70710678	0
3	0.40450850	-0.70062927	-0.58778525	0.52002610	-0.61974297	-0.58778525	0.35355339	-0.61237244	-0.70710678	0
4	0.35355339	-0.61237244	-0.70710678	0.52002610	-0.61974297	-0.58778525	0.47314679	-0.52548275	-0.70710678	0
1	0.69165480	-0.14701577	-0.70710678	0.70710678	0.00000000	-0.70710678	0.58778525	0.00000000	-0.80901699	0
1	0.64597419	-0.28760624	-0.70710678	0.69165480	-0.14701577	-0.70710678	0.56775696	-0.15213002	-0.80901699	0
1	0.57206140	-0.41562694	-0.70710678	0.64597419	-0.28760624	-0.70710678	0.50903696	-0.29389263	-0.80901699	0
1	0.47314679	-0.52548275	-0.70710678	0.57206140	-0.41562694	-0.70710678	0.41562694	-0.41562694	-0.80901699	0
2	0.69165480	-0.14701577	-0.70710678	0.58778525	0.00000000	-0.80901699	0.56775696	-0.15213002	-0.80901699	0
2	0.64597419	-0.28760624	-0.70710678	0.56775696	-0.15213002	-0.80901699	0.50903696	-0.29389263	-0.80901699	0
2	0.57206140	-0.41562694	-0.70710678	0.50903696	-0.29389263	-0.80901699	0.41562694	-0.41562694	-0.80901699	0
3	0.35355339	-0.61237244	-0.70710678	0.47314679	-0.52548275	-0.70710678	0.29389263	-0.50903696	-0.80901699	0
4	0.29389263	-0.50903696	-0.80901699	0.47314679	-0.52548275	-0.70710678	0.41562694	-0.41562694	-0.80901699	0
1	0.56775696	-0.15213002	-0.80901699	0.58778525	0.00000000	-0.80901699	0.45399050	0.00000000	-0.89100652	0
1	0.50903696	-0.29389263	-0.80901699	0.56775696	-0.15213002	-0.80901699	0.42661152	-0.15527390	-0.89100652	0
1	0.41562694	-0.41562694	-0.80901699	0.50903696	-0.29389263	-0.80901699	0.34777690	-0.29181947	-0.89100652	0
2	0.56775696	-0.15213002	-0.80901699	0.45399050	0.00000000	-0.89100652	0.42661152	-0.15527390	-0.89100652	0
2	0.50903696	-0.29389263	-0.80901699	0.42661152	-0.15527390	-0.89100652	0.34777690	-0.29181947	-0.89100652	0
3	0.29389263	-0.50903696	-0.80901699	0.41562694	-0.41562694	-0.80901699	0.22699525	-0.39316731	-0.89100652	0
4	0.22699525	-0.39316731	-0.89100652	0.41562694	-0.41562694	-0.80901699	0.34777690	-0.29181947	-0.89100652	0
