CENTER.X d	CENTER.Y d	CENTER.Z d	COUNT i
-0.79655172	0.36206897	NAN	86
-0.72413793	0.36206897	NAN	81
-0.65172414	0.36206897	NAN	77
-0.57931034	0.36206897	NAN	73
-0.50689655	0.36206897	NAN	69
-0.43448276	0.36206897	NAN	66
-0.36206897	0.36206897	NAN	63
-0.28965517	0.36206897	NAN	61
-0.21724138	0.36206897	NAN	60
-0.14482759	0.36206897	NAN	59
-0.07241379	0.36206897	NAN	59
0.00000000	0.36206897	NAN	60
0.07241379	0.36206897	NAN	62
0.14482759	0.36206897	NAN	65
0.21724138	0.36206897	NAN	68
0.28965517	0.36206897	NAN	74
0.36206897	0.36206897	NAN	80
0.43448276	0.36206897	NAN	89
0.50689655	0.36206897	NAN	100
0.57931034	0.36206897	NAN	115
0.65172414	0.36206897	NAN	136
0.72413793	0.36206897	NAN	166
0.79655172	0.36206897	NAN	217
0.86896552	0.36206897	NAN	319
0.94137931	0.36206897	NAN	0
1.01379310	0.36206897	NAN	0
-1.01379310	0.43448276	NAN	0
-0.94137931	0.43448276	NAN	0
-0.86896552	0.43448276	NAN	99
-0.79655172	0.43448276	NAN	97
-0.72413793	0.43448276	NAN	89
-0.65172414	0.43448276	NAN	84
-0.57931034	0.43448276	NAN	78
-0.50689655	0.43448276	NAN	74
-0.43448276	0.43448276	NAN	70
-0.36206897	0.43448276	NAN	67
-0.28965517	0.43448276	NAN	65
-0.21724138	0.43448276	NAN	63
-0.14482759	0.43448276	NAN	63
-0.07241379	0.43448276	NAN	63
0.00000000	0.43448276	NAN	65
0.07241379	0.43448276	NAN	67
0.14482759	0.43448276	NAN	70
0.21724138	0.43448276	NAN	74
0.28965517	0.43448276	NAN	79
0.36206897	0.43448276	NAN	87
0.43448276	0.43448276	NAN	97
0.50689655	0.43448276	NAN	110
0.57931034	0.43448276	NAN	128
0.65172414	0.43448276	NAN	153
0.72413793	0.43448276	NAN	193
0.79655172	0.43448276	NAN	264
0.86896552	0.43448276	NAN	439
0.94137931	0.43448276	NAN	0
1.01379310	0.43448276	NAN	0
-1.01379310	0.50689655	NAN	0
-0.94137931	0.50689655	NAN	0
-0.86896552	0.50689655	NAN	0
-0.79655172	0.50689655	NAN	116
-0.72413793	0.50689655	NAN	104
-0.65172414	0.50689655	NAN	95
-0.57931034	0.50689655	NAN	87
-0.50689655	0.50689655	NAN	80
-0.43448276	0.50689655	NAN	75
-0.36206897	0.50689655	NAN	72
-0.28965517	0.50689655	NAN	69
-0.21724138	0.50689655	NAN	68
-0.14482759	0.50689655	NAN	67
-0.07241379	0.50689655	NAN	68
0.00000000	0.50689655	NAN	70
0.07241379	0.50689655	NAN	72
0.14482759	0.50689655	NAN	75
0.21724138	0.50689655	NAN	80
0.28965517	0.50689655	NAN	87
0.36206897	0.50689655	NAN	95
0.43448276	0.50689655	NAN	107
0.50689655	0.50689655	NAN	123
0.57931034	0.50689655	NAN	145
0.65172414	0.50689655	NAN	178
0.72413793	0.50689655	NAN	234
0.79655172	0.50689655	NAN	350
0.86896552	0.50689655	NAN	0
0.94137931	0.50689655	NAN	0
1.01379310	0.50689655	NAN	0
-1.01379310	0.57931034	NAN	0
-0.94137931	0.57931034	NAN	0
-0.86896552	0.57931034	NAN	0
-0.79655172	0.57931034	NAN	124
-0.72413793	0.57931034	NAN	142
-0.65172414	0.57931034	NAN	115
-0.57931034	0.57931034	NAN	99
-0.50689655	0.57931034	NAN	89
-0.43448276	0.57931034	NAN	82
-0.36206897	0.57931034	NAN	78
-0.28965517	0.57931034	NAN	75
-0.21724138	0.57931034	NAN	73
-0.14482759	0.57931034	NAN	73
-0.07241379	0.57931034	NAN	74
0.00000000	0.57931034	NAN	76
0.07241379	0.57931034	NAN	78
0.14482759	0.57931034	NAN	83
0.21724138	0.57931034	NAN	88
0.28965517	0.57931034	NAN	96
0.36206897	0.57931034	NAN	107
0.43448276	0.57931034	NAN	121
0.50689655	0.57931034	NAN	141
0.57931034	0.57931034	NAN	171
0.65172414	0.57931034	NAN	219
0.72413793	0.57931034	NAN	309
0.79655172	0.57931034	NAN	566
0.86896552	0.57931034	NAN	0
0.94137931	0.57931034	NAN	0
1.01379310	0.57931034	NAN	0
-1.01379310	0.65172414	NAN	0
-0.94137931	0.65172414	NAN	0
-0.86896552	0.65172414	NAN	0
-0.79655172	0.65172414	NAN	0
-0.72413793	0.65172414	NAN	227
-0.65172414	0.65172414	NAN	140
-0.57931034	0.65172414	NAN	116
-0.50689655	0.65172414	NAN	101
-0.43448276	0.65172414	NAN	91
-0.36206897	0.65172414	NAN	84
-0.28965517	0.65172414	NAN	81
-0.21724138	0.65172414	NAN	79
-0.14482759	0.65172414	NAN	79
-0.07241379	0.65172414	NAN	80
0.00000000	0.65172414	NAN	83
0.07241379	0.65172414	NAN	87
0.14482759	0.65172414	NAN	92
0.21724138	0.65172414	NAN	99
0.28965517	0.65172414	NAN	109
0.36206897	0.65172414	NAN	122
0.43448276	0.65172414	NAN	141
0.50689655	0.65172414	NAN	169
0.57931034	0.65172414	NAN	212
0.65172414	0.65172414	NAN	291
0.72413793	0.65172414	NAN	488
0.79655172	0.65172414	NAN	0
0.86896552	0.65172414	NAN	0
0.94137931	0.65172414	NAN	0
1.01379310	0.65172414	NAN	0
-1.01379310	0.72413793	NAN	0
-0.94137931	0.72413793	NAN	0
-0.86896552	0.72413793	NAN	0
-0.79655172	0.72413793	NAN	0
-0.72413793	0.72413793	NAN	0
-0.65172414	0.72413793	NAN	147
-0.57931034	0.72413793	NAN	146
-0.50689655	0.72413793	NAN	118
-0.43448276	0.72413793	NAN	101
-0.36206897	0.72413793	NAN	92
-0.28965517	0.72413793	NAN	88
-0.21724138	0.72413793	NAN	87
-0.14482759	0.72413793	NAN	87
-0.07241379	0.72413793	NAN	89
0.00000000	0.72413793	NAN	92
0.07241379	0.72413793	NAN	97
0.14482759	0.72413793	NAN	104
0.21724138	0.72413793	NAN	113
0.28965517	0.72413793	NAN	126
0.36206897	0.72413793	NAN	145
0.43448276	0.72413793	NAN	172
0.50689655	0.72413793	NAN	214
0.57931034	0.72413793	NAN	290
0.65172414	0.72413793	NAN	472
0.72413793	0.72413793	NAN	0
0.79655172	0.72413793	NAN	0
0.86896552	0.72413793	NAN	0
0.94137931	0.72413793	NAN	0
